ROI_name,KARI_name
Accumbens_area,TOT_ACCUMBENS
Amygdala,TOT_AMYGDALA
Brain_Stem,TOT_BRAINSTEM
Caudate,TOT_CAUD
CC_Anterior,CRPCLM_ANT
CC_Central,CRPCLM_CNTRL
CC_Mid_Anterior,CRPCLM_MID_ANT
CC_Mid_Posterior,CRPCLM_MID_POST
CC_Posterior,CRPCLM_POST
Cerebellum_Cortex,TOT_CBLL_CORTEX
Cerebellum_White_Matter,TOT_CBLL_WM
choroid_plexus,TOT_CHORPLEX
ctx_bankssts,TOT_CTX_SSTSBANK
ctx_caudalanteriorcingulate,TOT_CTX_CAUDANTCNG
ctx_caudalmiddlefrontal,TOT_CTX_CAUDMIDFRN
ctx_corpuscallosum,TOT_CTX_CRPCLM
ctx_cuneus,TOT_CTX_CUNEUS
ctx_entorhinal,TOT_CTX_ENTORHINAL
ctx_frontalpole,TOT_CTX_FRNPOLE
ctx_fusiform,TOT_CTX_FUSIFORM
ctx_inferiorparietal,TOT_CTX_INFERPRTL
ctx_inferiortemporal,TOT_CTX_INFERTMP
ctx_insula,TOT_CTX_INSULA
ctx_isthmuscingulate,TOT_CTX_ISTHMUSCNG
ctx_lateraloccipital,TOT_CTX_LATOCC
ctx_lateralorbitofrontal,TOT_CTX_LATORBFRN
ctx_lh_bankssts,L_CTX_SSTSBANK
ctx_lh_caudalanteriorcingulate,L_CTX_CAUDANTCNG
ctx_lh_caudalmiddlefrontal,L_CTX_CAUDMIDFRN
ctx_lh_corpuscallosum,L_CTX_CRPCLM
ctx_lh_cuneus,L_CTX_CUNEUS
ctx_lh_entorhinal,L_CTX_ENTORHINAL
ctx_lh_frontalpole,L_CTX_FRNPOLE
ctx_lh_fusiform,L_CTX_FUSIFORM
ctx_lh_inferiorparietal,L_CTX_INFRPRTL
ctx_lh_inferiortemporal,L_CTX_INFRTMP
ctx_lh_insula,L_CTX_INSULA
ctx_lh_isthmuscingulate,L_CTX_ISTHMUSCNG
ctx_lh_lateraloccipital,L_CTX_LATOCC
ctx_lh_lateralorbitofrontal,L_CTX_LATORBFRN
ctx_lh_lingual,L_CTX_LINGUAL
